int_rate,mths_since_last_delinq,revol_util,tot_cur_bal,delinq_2yrs
13.18,,46,396724,0
7.9,75,57.9,,0
21.67,58,28.7,314229,0
9.17,42,42,51395,0
7.89,19,45.9,91846,1
6.24,,39.8,13356,0
12.39,,83.2,45918,0
11.55,45,52.5,181061,0
10.49,,42.9,783325,0
7.69,,63.7,91215,0
12.39,36,88.2,210299,0
14.09,36,42.9,26536,0
7.62,,79,12090,0
10.99,33,37.8,29598,0
9.17,,46.2,25495,0
13.33,,52.1,259295,0
9.63,66,77.6,,0
19.52,,96.1,28383,0
13.33,48,85.6,436181,0
9.99,8,49.2,190860,3
17.57,,48.4,14923,0
11.53,,50.1,240346,0
12.99,,16.2,22690,0
11.53,46,53.7,61321,0
19.99,47,55.4,323650,0
13.67,,52.7,51164,0
10.99,,49.9,15929,0
13.44,,69.3,210571,0
14.49,3,12.3,14426,2
12.69,14,66.6,,1
11.44,63,47.5,7099,0
25.57,66,89.3,45583,0
10.16,0,57,233106,1
16.29,38,89.1,37002,0
19.05,23,68.6,73293,1
13.18,18,79.6,11546,1
11.53,,84.6,48110,0
13.11,,70.2,221661,0
12.69,,66.8,44068,0
9.99,49,68.7,72063,0
6.99,,64.6,32439,0
17.57,,23.9,65612,0
10.99,,55.8,26719,0
13.33,,98.5,302976,0
12.99,11,63.1,282222,3
20.99,77,52.5,95704,0
15.99,24,32.8,23978,0
20.99,34,61.9,284324,0
6.49,,46.5,149513,0
11.53,21,60.3,332307,1
17.86,,81.6,30747,0
10.99,22,53,190781,1
8.18,13,15.6,281198,2
16.29,,67.3,30332,0
9.99,14,57.6,198164,1
6.68,,21.5,12510,0
17.77,6,88.5,278664,2
18.75,,61,,0
14.65,,70.6,432127,0
16.59,,77.4,41044,0
11.22,,94.9,206447,0
13.33,23,39.7,28906,1
11.53,,79.3,15383,0
9.71,43,73.6,334371,0
11.86,,24.3,,0
19.99,10,60,30823,1
8.18,13,52.3,36173,3
13.53,,67.5,484396,0
12.49,21,59.4,34682,1
12.29,15,94.7,146506,1
7.26,,65.5,189174,0
17.57,,62.4,58546,0
14.33,,55.8,20630,0
8.39,,20.1,21645,0
10.99,,54.1,15951,0
7.89,66,27.4,81185,0
14.33,29,70.5,43837,0
15.31,,66,32950,0
20.99,,31.6,41585,0
13.99,26,50.3,247823,0
15.99,27,34.3,23994,0
6.89,,53,242079,0
22.2,,69.2,174000,0
9.17,65,81.1,21394,0
7.89,64,50.8,70748,0
8.9,14,20.2,2134998,2
13.33,,54.8,26692,0
14.99,,82.3,16050,0
15.1,11,41.9,40463,1
13.99,49,64.5,33835,0
15.99,57,21.4,15430,0
10.99,22,60.1,36045,1
11.53,,16,83785,0
21.99,,73.9,99543,0
19.99,30,90.7,91486,0
22.4,15,54.1,321178,3
13.99,,54.3,30975,0
11.53,55,9.7,36544,0
6.89,,61,38494,0
18.49,,64.9,205276,0
11.55,56,83.5,166237,0
17.86,37,91.9,182233,0
18.49,24,55.1,18275,0
19.04,39,89,,0
12.69,,47.7,61845,0
14.99,,49.1,285510,0
12.69,74,27,131616,0
7.62,64,28.4,29846,0
13.33,12,13.2,11605,1
13.18,67,45,45936,0
12.29,,57.3,12606,0
12.18,,36.7,,0
7.69,,5.5,195218,0
7.9,,54.1,383165,0
17.57,50,96.7,73727,0
8.9,26,45.3,215083,0
16.99,,80.9,13415,0
18.54,,87.3,20415,0
14.31,,78.2,172412,0
13.35,38,22.7,25295,0
14.3,,67.6,37762,0
7.9,,32.4,,0
9.99,,44.1,519631,0
17.27,14,60.4,304691,1
12.12,,79.3,,0
11.67,,34.5,115296,0
14.49,,82.9,16745,0
11.99,,24.3,16121,0
13.35,,72,39452,0
8.9,12,41.1,277915,2
14.99,,72.2,533098,0
5.93,50,8.2,221547,0
12.49,63,45.5,161678,0
15.61,,43.3,155190,0
15.99,,70,31615,0
14.3,73,52.7,188305,0
10.64,33,60.9,19688,0
12.73,,71.5,,0
17.86,6,62.9,3646,1
8.18,,36.7,3305,0
18.25,,83.8,92904,0
6.03,,6,132680,0
6.03,,10,414556,0
7.26,,84.2,346484,0
12.29,,32.4,7386,0
15.61,26,35.9,314903,0
11.53,,66.8,28200,0
12.69,75,47.5,118576,0
12.69,,81.8,158122,0
6.24,,51.2,39455,0
16.99,,70,374325,0
17.76,13,64.3,9691,1
12.99,,43.8,315706,0
9.76,,37.8,214099,0
12.59,9,53.1,782892,1
11.71,,14.2,,0
24.5,,7.2,3485,0
15.22,,89.2,14981,0
7.89,,38.4,423982,0
13.99,,91.6,206548,0
6.89,,4.7,47174,0
13.33,46,55.1,27486,0
13.98,,43.5,52912,0
7.51,61,4.8,,0
9.99,,89.5,81035,0
14.49,9,29.6,14829,1
16.29,27,1,14039,0
16.29,,29.4,203416,0
11.14,56,76.2,304812,0
17.99,,36.3,,0
19.52,6,66.2,143420,1
13.98,,66.3,164783,0
14.48,23,100.1,213536,1
18.49,58,61.4,38510,0
13.99,26,64.5,38647,0
13.35,28,43.7,206492,0
15.31,55,41.6,213665,0
16.49,12,53.1,98093,1
13.99,,83.5,212028,0
10.49,,43.2,119236,0
10.99,6,57.8,399129,8
11.99,5,25.7,35249,4
10.99,35,30.9,310664,0
12.29,63,56.5,250578,0
13.53,,79.3,24254,0
16.99,17,62,159305,3
13.35,,48.4,364573,0
14.49,,50.4,189066,0
20.99,,61.7,26671,0
13.11,,88,24782,0
6.97,12,48.2,75532,2
15.33,62,97.1,,0
14.49,52,72.2,140187,0
12.69,,61.9,15862,0
8.18,,28.6,45040,0
7.29,,53.4,,0
14.33,22,42.1,164050,1
15.99,,76.3,84382,0
11.49,,83.2,504099,0
7.89,,31.9,14966,0
15.8,,37.6,45894,0
12.99,,74.6,8241,0
16.99,6,44.3,213509,2
14.33,,51.2,66562,0
18.49,45,65.4,,0
13.35,,69.2,12187,0
16.99,46,30.5,27241,0
14.64,9,39.3,54209,2
25.57,,44.9,138989,0
15.61,5,92.1,261937,1
11.99,,77.4,256873,0
8.9,30,62.1,34669,0
21,,61.8,35718,0
7.89,,31,195591,0
7.89,74,30.8,50070,0
8.67,13,94.2,347964,1
7.62,54,24.8,381579,0
12.99,11,84.5,84568,1
10.99,,29.3,,0
8.18,,34.1,12692,0
16.29,,41,157413,0
15.88,,75.2,259208,0
14.99,,81.1,63530,0
12.35,,59.8,9068,0
12.49,,71.7,31182,0
17.14,,97.9,38141,0
22.15,12,69.2,48651,3
6.49,27,53.5,194721,0
7.89,35,71.4,158695,0
6.62,,37.5,263538,0
6.39,,39.9,98223,0
11.53,8,46.2,26311,1
17.93,45,0,,0
19.52,1,64.3,371178,1
18.25,35,46.7,263782,0
12.29,,59.2,190161,0
10.99,,31.7,262293,0
6.92,,11.2,17269,0
14.65,74,34.6,13408,0
19.99,,61.4,16096,0
15.61,,96.8,5266,0
8.18,,65,133998,0
16.2,45,70,194121,0
9.17,,37.8,310554,0
18.25,,74.6,196275,0
12.35,,58.6,30434,0
9.76,28,37.3,266638,0
13.33,16,90.7,183161,6
15.31,,57.6,13410,0
16.29,47,82.2,27370,0
7.89,33,33.6,45415,0
6.62,26,28.9,11451,0
12.35,,67.9,19998,0
18.25,,92.2,8794,0
18.55,,54.8,70482,0
11.49,,61.5,,0
10.99,,45.6,80358,0
11.44,,66.6,177761,0
7.89,49,75.6,369534,0
13.99,31,37,63306,0
9.17,,40.3,242166,0
5.32,10,54.4,65049,1
17.56,,96.7,31281,0
13.99,,90.6,75910,0
12.49,4,57.8,43490,10
6.39,,28.8,298387,0
11.14,,7.9,,0
12.29,,96,47476,0
17.77,,38.9,,0
12.99,23,40.2,128672,1
10.15,,60.9,244854,0
10.99,,47.9,25104,0
15.31,3,40.9,28498,1
17.27,24,40.4,36068,0
14.49,,54.9,125730,0
12.39,,12.5,226277,0
9.88,,63.9,,0
17.57,55,81.2,127482,0
6,,24,115628,0
9.99,,17,,0
14.49,,25,160449,0
18.49,38,69,36137,0
11.53,,90.1,346576,0
12.12,8,55.5,,1
5.32,37,52.8,778258,0
17.57,12,51.2,106054,1
9.99,,55.2,121636,0
15.61,,67.2,120275,0
12.99,41,51.7,175578,0
7.89,,48.5,34835,0
16.55,,61,51190,0
12.99,,67.4,35488,0
13.98,14,47.3,29870,1
19.99,,16.2,58559,0
15.61,,90.8,27482,0
18.54,,90.3,19861,0
12.49,,41.7,262455,0
16.02,9,91.1,,2
12.69,20,48.8,74619,1
12.69,,40.1,158835,0
13.33,7,87.8,218226,3
7.26,,80.1,61620,0
14.31,29,71.4,456519,0
13.65,26,81.3,273196,0
10.99,,44.6,25981,0
11.22,,50.7,28009,0
17.27,,65.6,125204,0
12.99,35,51.3,180295,0
7.69,,62.4,396350,0
13.98,,70.2,88469,0
12.99,12,36.7,368725,3
13.53,,47.6,34697,0
9.17,,85.3,111405,0
16.99,,81.4,65635,0
24.99,27,6,49605,0
11.44,10,61.1,143089,1
8.19,,87,428951,0
9.99,,8,17475,0
12.29,,92,27033,0
13.18,,31.3,52383,0
7.69,,28.8,501977,0
14.09,23,49,59409,1
16.2,43,66.6,369994,0
10.99,,55.7,323288,0
11.99,,26.5,6092,0
13.99,,70.3,249142,0
12.99,7,51.2,2820,1
15.59,21,28,30811,1
7.62,23,13.6,,1
14.65,74,77.3,,0
25.99,31,58.6,235097,0
9.17,48,94.6,52099,0
8.18,,24.1,11665,0
9.17,32,80.9,623772,0
13.22,16,89.6,,1
13.18,8,24.5,27255,1
13.67,,47.8,20831,0
10.99,,71.7,30466,0
12.99,,99.9,34460,0
10.49,10,57.4,220804,1
15.61,79,77,290813,0
7.89,,68.6,174388,0
19.22,,91,,0
11.53,3,47.5,5663,6
20.49,12,44.2,854678,1
12.35,,56,22598,0
16.99,,63,16777,0
20.49,36,97,74274,0
14.99,44,79.5,142533,0
13.67,,94.2,362889,0
10.64,,56.4,80674,0
9.17,34,15.9,185732,0
12.49,10,85.9,374418,1
8.18,,88.9,188427,0
16.99,,69.9,57199,0
6.89,,62.3,21550,0
7.69,,76.4,109375,0
9.99,,46.1,398456,0
13.66,46,43,166822,0
21.48,18,80.4,194196,1
6.92,,66.7,36477,0
13.53,,59.1,29517,0
6.92,,16.9,321451,0
12.69,,62.5,173480,0
16.55,,85.7,76261,0
13.33,72,43.3,23159,0
11.22,38,51.7,15241,0
13.44,14,31.3,83182,2
17.27,73,90.1,,0
16.55,,7,204260,0
20.2,15,79.8,527844,1
25.99,,73.4,29013,0
5.32,18,14.1,14867,2
13.67,15,50.7,48138,2
21.18,,34.7,40963,0
14.33,33,59.8,15082,0
9.71,3,19.8,132902,2
7.89,,86.3,265414,0
14.49,65,66.9,15224,0
14.59,18,0,,1
18.55,,30.4,22836,0
13.11,75,37.3,48102,0
11.67,,78.5,319311,0
13.33,,81.5,452582,0
13.67,,75.1,35620,0
18.25,15,53.7,15337,1
18.55,26,60.3,33436,0
18.84,12,47.8,41091,6
7.89,19,99.6,136148,1
7.89,,39.7,307285,0
8.67,,42.8,92939,0
9.17,,39.1,22975,0
13.98,6,45,21554,7
17.86,17,95.6,10803,2
8,,20.3,,0
18.24,24,33.7,344169,0
7.26,32,13.1,313542,0
5.32,,23.4,336073,0
8.18,29,74.3,122343,0
14.65,,93.2,501037,0
12.12,,81.7,265141,0
15.31,6,92.2,190888,1
12.69,21,71.3,67495,2
22.45,,60.6,,0
15.21,,99,,0
25.83,81,70.5,53547,0
14.65,25,46.1,19591,0
19.47,49,103.2,44125,0
7.9,,49.2,272410,0
7.29,,49.1,,0
13.99,,71.9,30281,0
19.99,,70,446272,0
12.49,34,28.4,32274,0
9.17,,60.9,17117,0
15.8,,82.2,19732,0
5.32,,21.9,25153,0
12.05,44,49.6,417869,0
13.67,57,22.9,32341,0
12.29,,56.2,72759,0
17.76,24,30.3,296315,0
20.99,38,70.2,48455,0
14.16,,85.8,24852,0
18.25,,59.7,225249,0
15.61,,87.5,189715,0
9.67,34,41.3,3674,0
19.91,35,81.5,,0
17.27,53,72.8,25968,0
14.31,26,59.1,276616,0
14.47,,75.9,176895,0
15.77,,77.1,95147,0
18.92,,64.6,15223,0
13.67,74,34,19665,0
10.49,59,51.5,29907,0
14.84,63,52.2,,0
19.52,17,32.7,44178,1
17.86,9,31.9,259914,1
9.76,,23.2,,0
10.99,25,40.6,40979,0
16.99,3,78.3,10132,3
15.61,,34.5,185354,0
19.19,55,84.7,221979,0
7.62,62,68.1,328184,0
9.99,,93.3,250044,0
9.99,12,51,41456,1
15.61,50,36.4,3353,0
9.99,,65.6,329868,0
9.17,38,0.1,532336,0
13.99,,84.7,169588,0
11.99,58,29.2,161842,0
11.67,11,47.7,87349,1
12.69,48,47.2,165913,0
25.99,,87.1,2960,0
13.98,27,29.1,214352,0
11.53,69,51.2,106906,0
16.99,62,28.8,151771,0
13.99,27,47,235950,0
9.49,27,48.2,20219,0
15.41,,49.1,491541,0
17.86,35,41,12150,0
13.11,27,67,,0
11.53,,32.6,299661,0
12.69,27,56,66417,0
20.49,38,72.6,134672,0
14.65,4,54.3,30415,1
10.49,12,101.3,365767,1
15.22,26,28.8,5868,0
11.99,,25.9,24537,0
7.89,17,48.2,53284,1
16.99,,95.6,102594,0
8.18,28,31.5,220616,0
14.99,,68.1,285894,0
12.69,57,31.9,245190,0
13.35,,52.6,2384,0
14.99,,75.9,17502,0
9.49,7,33.8,18456,2
12.99,,70.5,313272,0
11.67,,79,40993,0
6.68,27,0.4,24422,0
10.99,45,54.4,83369,0
9.99,6,0.1,1127708,2
15.61,11,27.9,5448,1
19.19,11,82.7,149297,2
14.65,,94,34772,0
19.99,27,90.6,530528,0
15.99,,96.7,16248,0
16.99,46,66.1,223769,0
15.68,47,34.2,,0
17.27,6,80.2,27305,1
23.28,,79.8,11608,0
7.89,37,65.1,220717,0
14.49,60,62.2,106520,0
14.47,49,68,133047,0
22.4,,19.4,12222,0
18.2,14,51.8,9944,1
7.9,,38.3,,0
9.17,78,40.5,38801,0
16.99,74,25.7,28407,0
12.69,19,83.6,401221,1
13.67,,62.3,47523,0
16.29,7,71.9,118312,2
15.61,29,65,360948,0
13.35,,56,59714,0
13.33,10,89.4,119356,1
7.26,,33.1,91943,0
11.67,53,28.1,143086,0
12.29,16,77,38918,1
16.99,53,12,90801,0
10.99,73,51,105358,0
19.52,,96.8,7618,0
9.71,,21.7,182022,0
13.67,,59.1,40016,0
18.55,15,54.3,38864,1
10.99,39,91.5,158379,0
22.4,,67.6,15397,0
14.65,,83,407284,0
13.11,,81.5,,0
19.24,24,90.9,199709,0
14.65,,35.9,131363,0
15.61,,48.4,122343,0
18.24,10,32.1,343137,2
13.61,14,12.5,,2
17.57,48,45.9,72316,0
13.99,,43.6,52980,0
15.31,,85.8,43509,0
17.86,34,61.4,34586,0
5.32,,14.2,354723,0
24.08,47,67.2,29910,0
13.33,,54.7,7936,0
12.85,7,89.7,401675,1
17.86,25,53.8,32614,0
15.61,3,31.8,9605,1
7.9,74,48,211613,0
15.59,14,95.2,256042,1
12.29,,68.2,16270,0
15.61,,43,18096,0
13.18,28,92.5,84036,0
14.65,,68.1,19809,0
11.99,17,74,224189,1
18.25,,37.4,57337,0
7.91,12,86,45503,1
9.17,80,12,142218,0
16.99,20,58.7,44484,1
17.57,27,67.3,152338,0
8.18,19,34,19958,1
17.57,11,38.9,89354,1
18.24,18,84.1,193663,1
13.99,,52.8,29472,0
14.49,,48.9,132018,0
17.86,,72.5,159074,0
9.17,14,34.3,45395,1
16.29,,91.5,49952,0
17.77,,94.6,6957,0
17.57,,97.4,35804,0
8.9,,59.9,107640,0
6.92,,48.2,19185,0
12.29,,50.6,85891,0
5.32,,26.6,173462,0
8.18,55,60.5,22944,0
15.59,,23,24673,0
15.61,32,45.5,237622,0
15.61,,56,18752,0
15.61,,74.1,72620,0
21.7,56,34.5,77275,0
13.18,52,73.8,45250,0
17.58,,13.4,,0
9.17,41,56.8,102952,0
19.99,13,61,163549,1
17.86,,70.5,36557,0
12.49,15,54.7,55816,1
18.85,63,85.5,21395,0
15.59,,65.1,14385,0
11.14,18,41.7,234116,1
13.98,,65,28181,0
7.69,9,49,33679,1
10.99,,38.8,25971,0
13.99,16,93.2,,1
17.57,37,78.7,141359,0
7.89,45,45.5,35669,0
7.89,51,29.8,172125,0
10.99,,55.7,3840,0
12.69,64,46.6,26116,0
9.49,,78.3,709387,0
6.49,,11.3,65904,0
14.49,25,37.7,231677,0
6.39,,8.6,,0
20.49,53,89.2,54235,0
10.99,,25,9517,0
15.31,69,60.2,129814,0
10.99,16,84.4,179353,1
17.57,4,88.7,403536,3
14.33,,15.6,,0
10.15,,47.2,10443,0
18.49,,57.3,344685,0
15.88,,77.5,42356,0
13.33,39,24.1,24624,0
13.99,45,38.4,899146,0
12.99,,53.7,41926,0
21.99,11,65.2,258860,1
6.62,,11.8,,0
6.24,,59.8,83006,0
15.31,,13.2,14306,0
11.99,,53.6,17296,0
22.47,,78.6,60471,0
6.89,,67.2,141897,0
11.99,59,60.4,93425,0
11.99,,41.6,14298,0
15.31,24,43.4,431535,0
11.22,14,54.2,32120,2
7.89,,6.4,39935,0
10.16,,43.6,36287,0
13.79,25,68,,0
20.99,,89.8,206544,0
18.25,,74.6,49078,0
13.33,,11.7,21563,0
21.99,45,33,68773,0
13.33,,3.4,15080,0
10.99,6,36.2,264331,8
13.99,,9.3,,0
8.19,78,39.8,37742,0
6.49,,80.3,70332,0
16.99,34,33.1,22314,0
21.99,,61.7,99739,0
14.16,,33.1,9991,0
15.41,38,62.8,44002,0
11.44,5,27.1,36772,1
15.61,,54.6,72094,0
12.49,70,24.8,97074,0
14.65,,27.2,79415,0
23.28,38,22,34202,0
7.26,,5.1,769,0
9.17,,97.1,87789,0
8.6,,34.5,168066,0
12.69,,56.9,102120,0
14.99,60,90.8,42270,0
7.69,23,53.4,30831,1
6.92,37,64.6,145422,0
10.36,64,85.3,,0
10.99,31,14.8,315385,0
10.99,,54.9,57363,0
12.99,74,90.2,139685,0
10.75,36,38.8,,0
12.12,,87.1,16819,0
16.99,,53.5,344679,0
19.52,53,19.1,41943,0
20.31,,70.6,228982,0
19.52,55,86.6,87635,0
12.99,,9.9,32997,0
10.99,43,53.7,129427,0
11.53,,47.8,54411,0
7.89,63,45.3,192677,0
16.02,54,86,,0
10.64,32,62,199407,0
18.55,,80.3,106824,0
14.33,,53.1,182470,0
6.62,,30.7,267666,0
13.11,,91.9,,0
9.17,,89.8,297210,0
13.35,6,29.5,286810,2
12.12,,32.7,44179,0
6.62,,24.4,33736,0
15.61,71,60,17674,0
14.64,,78.3,215271,0
12.99,,44,154556,0
14.64,,79.1,61707,0
14.65,67,9.5,33160,0
12.29,19,25.1,227201,2
15.61,8,87.7,249214,1
13.67,,58,14161,0
15.61,62,77.9,62243,0
12.12,,69.1,123351,0
18.49,11,44.7,8574,1
11.53,57,60.8,342704,0
13.66,35,82.1,379421,0
25.83,,87.7,122541,0
20.49,,148,37344,0
6.62,35,29.2,219728,0
22.95,14,43.6,862,1
19.52,26,58.9,18801,0
6.39,25,31.8,305454,0
15.41,,86,251585,0
8.38,,24.6,41605,0
7.62,,16.9,,0
15.61,36,95.4,1094366,0
7.89,,35.6,203065,0
13.99,16,101.2,115196,1
19.03,,88.1,,0
13.99,,65.8,,0
14.16,3,44.9,15582,2
16.29,18,52.2,244087,1
13.49,,92.6,,0
19.52,,46.3,30660,0
13.99,5,34.7,103832,1
11.14,,78.2,214672,0
7.9,,27.3,16470,0
6.49,,48.2,193830,0
9.76,,73.9,104200,0
12.99,,42.7,134735,0
7.51,,33.6,,0
9.76,41,35.6,140482,0
21,63,67.4,111974,0
16.29,44,97.4,469219,0
15.61,,67.3,218627,0
7.62,,0.1,127272,0
11.99,,49.2,194556,0
9.99,17,70.7,327300,1
8.9,24,58.9,214327,0
21.15,,95.8,11682,0
17.56,,62.3,19376,0
23.99,21,81.7,195218,1
10.99,5,77.8,519647,1
15.61,13,93.1,476445,4
18.49,,68.7,145890,0
24.99,19,84.7,4826,2
13.11,38,11.2,1091,0
7.62,,43.8,16747,0
13.18,10,28.3,29043,1
17.86,,56.1,11819,0
20.49,,70.1,50849,0
10.99,,91.5,295477,0
14.65,,9.1,13756,0
9.99,69,4.1,259870,0
19.52,,68.1,34671,0
16.99,10,85.3,132710,2
23.43,55,97.5,315993,0
13.11,,83.3,438621,0
12.05,60,41.8,36390,0
6.03,,3.5,60333,0
13.99,,92.6,54572,0
13.18,,49.6,7022,0
7.89,31,41.6,328460,0
13.33,,57,16629,0
14.99,,77.7,357632,0
15.22,18,84.3,216251,1
11.44,3,92.4,47655,1
12.69,,12.9,125428,0
16.29,46,51.1,59141,0
7.89,33,39.4,6541,0
12.49,36,95.7,62137,0
9.99,57,68.2,330970,0
13.98,13,27.2,20982,1
14.33,,80.8,485146,0
8.9,,17.4,46716,0
9.17,10,35.4,389672,2
10.64,,56.8,16870,0
16.55,,98.2,29830,0
7.89,55,65.3,40242,0
19.19,8,34.8,84909,1
9.99,38,78.7,286652,0
15.61,,38.8,19918,0
14.3,,58.9,37758,0
13.67,,69.2,68902,0
24.99,,64.4,36956,0
16.99,27,24.8,43697,0
17.57,,65.3,388626,0
9.49,,52.3,43790,0
13.33,,10.3,5915,0
14.48,,35.5,194147,0
10.99,,64.1,40240,0
17.57,,90.3,61426,0
8.39,,1.3,219,0
12.99,,69.4,19678,0
6.62,,5,,0
21,72,81.2,17260,0
8.18,,56.7,471130,0
9.17,,51,170804,0
14.49,15,36,66401,1
12.99,,75.1,11403,0
12.29,,53.1,45087,0
9.25,,84.3,,0
5.32,,24.4,102028,0
6.89,,65.3,393653,0
13.11,17,40,24541,2
9.99,4,49.2,404578,1
18.99,42,45,314030,0
10.16,,60,260893,0
7.26,,36.7,179781,0
9.99,,78.4,105650,0
15.61,,48.2,140250,0
7.49,,48.1,120158,0
23.99,69,64.9,247245,0
7.62,,51.6,161469,0
14.49,56,55.5,45841,0
10.15,42,55.1,154484,0
26.77,,69.4,23057,0
8.18,,51.9,14831,0
11.99,38,47.6,175183,0
9.99,,23.5,4002,0
19.22,13,49,26978,4
15.61,69,65,735856,0
19.99,27,24.6,115421,0
10.49,,52.3,17641,0
14.31,37,70,268641,0
9.49,,68.1,416884,0
8.39,,48,217446,0
7.49,89,41.2,328147,0
10.99,,67,132312,0
9.17,,91.5,165185,0
5.32,,18.2,222385,0
10.16,,47.8,14153,0
11.67,,41.1,24226,0
6.49,24,49,61018,0
9.99,20,71.1,328692,1
16.99,,93.4,14667,0
9.71,10,48.9,112662,1
10.15,,55,159405,0
6.39,,33.7,44283,0
10.64,,79.4,79109,0
13.99,,65,172097,0
12.69,39,45.4,781678,0
16.99,32,61.5,4364,0
11.99,,96.2,23464,0
17.14,,67.9,13124,0
15.99,,87.4,132687,0
9.17,,33.5,19842,0
19.52,,88.2,25557,0
14.99,,42.5,94154,0
18.25,58,53,35782,0
7.89,,17.3,18302,0
10.99,,81,198507,0
12.69,,31.9,46465,0
23.43,25,54.7,215570,0
9.71,,41.3,11560,0
15.31,,63,56484,0
12.39,12,52.7,150413,1
18.55,33,52.6,53159,0
19.99,54,13.2,22296,0
14.33,,52.3,430669,0
14.65,70,36.8,228720,0
15.61,,75.7,38744,0
18.25,37,75.6,67633,0
19.99,4,35.9,444727,2
12.99,44,38.2,31059,0
13.66,10,48.3,464223,5
9.99,,31.7,10904,0
13.99,61,43.7,44508,0
13.72,31,49.9,,0
14.65,,61.4,13260,0
17.76,73,94.8,220271,0
10.15,44,31.6,11876,0
7.4,,4.9,,0
23.99,,35.7,88533,0
9.49,,60.3,161360,0
10.49,43,18.8,195067,0
12.69,,45.1,51712,0
13.99,33,98.9,87630,0
6.54,,69.3,,0
12.29,,22.1,32776,0
15.61,,93,13971,0
9.17,61,35.4,40837,0
9.99,,12.7,39768,0
11.44,60,27.6,237020,0
11.53,14,69.5,147170,1
12.12,,54.1,,0
21.99,23,97,195250,1
20.3,,83.4,,0
20.2,30,87.3,160285,0
13.65,12,9.2,269546,1
7.89,,40.5,36337,0
9.71,,36,162698,0
6.24,,43.1,10442,0
7.89,,40.7,355603,0
23.99,29,64.3,17622,0
10.99,,25.7,10273,0
19.99,,57.3,151516,0
8.19,,90,34290,0
6.03,,45.4,21771,0
7.66,,71.2,,0
16.99,3,52.7,49120,1
10.16,,44.9,34356,0
17.57,20,62,170205,2
8.18,45,71.2,323396,0
11.55,,38.6,19673,0
5.32,,37.8,157815,0
5.32,,5.6,422237,0
13.67,,94.1,265995,0
11.44,70,72.4,42639,0
18.24,,76.7,168476,0
6.62,,25.9,145922,0
17.57,0,73.1,130924,1
17.74,,90.8,,0
13.98,23,50.3,13949,1
19.99,37,45.8,156565,0
13.33,,59.9,41030,0
11.99,,56.9,5291,0
9.49,3,40.6,223453,2
7.62,,74.3,245552,0
13.33,,66.2,8802,0
16.55,20,64.2,151807,1
14.65,82,72.9,17496,0
13.99,,31.9,18861,0
6.92,,38.5,19287,0
15.61,60,78.6,10057,0
16.99,24,71.6,339533,0
9.8,11,48.6,91397,2
10.99,56,42.1,11331,0
9.49,,21.9,31542,0
13.33,,87.6,323833,0
28.49,7,31.5,192763,1
20.49,66,90.7,103652,0
18.85,13,68,78082,1
11.22,39,50.1,156766,0
14.3,,71.4,679210,0
17.56,43,31.7,45834,0
16.29,64,56.7,48991,0
7.29,,0,,0
16.49,,47,157213,0
19.72,,83.9,140473,0
17.57,,57.4,49112,0
6.89,41,46.4,294221,0
10.99,,60.1,27374,0
6.24,,58.5,165628,0
13.99,9,73.9,306774,2
16.59,12,78.2,9116,1
7.62,,51,59509,0
14.33,,78.6,171643,0
11.53,,92.4,47618,0
13.35,26,91.2,159270,0
6.24,,37.2,581131,0
25.8,,76.7,158178,0
13.11,,29.7,48168,0
18.25,,48.2,12107,0
10.99,,35.3,41893,0
16.29,9,76.7,19039,1
12.69,,57.2,18137,0
13.53,8,46.7,12619,1
21.28,4,89.4,,1
7.26,11,85.7,397633,2
10.99,24,76.6,240822,0
12.35,,29.3,10622,0
7.89,,32.2,4833,0
16.77,14,3,,1
6,24,42,199642,0
13.11,,61.5,,0
17.57,,97.5,41982,0
10.99,,36.8,8461,0
13.66,1,47.1,254584,5
6.39,73,75.9,36718,0
15.61,,60,24502,0
11.99,39,38.4,,0
17.57,,62.5,48295,0
18.49,47,1.6,39744,0
14.65,23,53.8,93904,6
22.99,68,73.6,273892,0
9.17,44,59.1,17447,0
8.9,,41.4,,0
8.18,,45,184329,0
17.57,14,50.2,319033,2
13.05,,39.5,18163,0
22.9,,100.3,18047,0
12.12,,77,220532,0
9.99,36,96.4,79337,0
11.14,,15.4,631084,0
9.67,,36.9,30285,0
12.69,,72.3,463561,0
16.78,40,51.7,132204,0
12.85,,59.1,53021,0
17.57,20,36.8,7899,1
16.29,22,69.1,372559,2
6.62,,17.6,37228,0
18.55,69,91.6,77894,0
12.49,,37.6,22735,0
21.99,11,45.6,48524,1
12.69,59,31.2,83244,0
24.08,,77.5,418661,0
8.39,,38.8,216232,0
12.29,10,72.3,218165,1
18.75,77,89.7,,0
19.99,40,72.6,320051,0
10.65,33,9,,0
14.3,,59.6,7032,0
11.14,,7.9,,0
12.49,10,84.5,196908,1
12.49,20,76.9,141745,1
6.24,,57.3,23369,0
7.89,7,44.3,121926,1
12.99,,37.7,157904,0
17.77,,82.3,15999,0
12.69,2,23.9,7429,1
23.28,,88.1,79808,0
8.18,70,71.9,13453,0
13.18,64,86.9,133500,0
15.61,56,85.2,13551,0
11.53,,87.8,68080,0
24.5,,98.2,128677,0
15.31,11,46.2,,2
12.12,,53.4,,0
11.67,,70,106102,0
9.17,57,36.8,185802,0
9.17,,96.9,26446,0
8.9,,59.9,20870,0
19.52,,97,8149,0
13.99,66,45,65400,1
17.57,8,67.2,42796,1
